PC,Explained_Variance_Ratio,Cumulative_Variance_Ratio,Explained_Variance
PC1,0.38497287,0.38497287,118.2988
PC2,0.29582208,0.68079495,90.90354
PC3,0.08997524,0.7707702,27.648603
PC4,0.053776287,0.82454646,16.524982
PC5,0.04152174,0.8660682,12.759268
PC6,0.032031983,0.89810014,9.843148
PC7,0.017418597,0.91551876,5.3525825
PC8,0.01176629,0.9272851,3.615678
PC9,0.00811068,0.9353958,2.492341
PC10,0.0076788273,0.9430746,2.3596365
PC11,0.005986157,0.94906074,1.8394938
PC12,0.0054137437,0.9544745,1.6635962
PC13,0.0041762763,0.95865077,1.2833332
PC14,0.0038648658,0.96251565,1.1876395
PC15,0.003758039,0.96627367,1.1548126
PC16,0.0031251283,0.9693988,0.96032465
PC17,0.0028146966,0.9722135,0.8649317
PC18,0.00240743,0.97462094,0.7397822
PC19,0.0019695985,0.9765905,0.6052404
PC20,0.001763957,0.97835445,0.5420486
PC21,0.0016414878,0.97999597,0.50441486
PC22,0.0012862127,0.9812822,0.39524192
PC23,0.0012079217,0.9824901,0.37118378
PC24,0.0011110924,0.9836012,0.341429
PC25,0.0010799979,0.9846812,0.3318739
PC26,0.0009835544,0.9856647,0.3022377
PC27,0.0008142683,0.986479,0.25021753
PC28,0.0007863284,0.9872653,0.24163184
PC29,0.0007452369,0.9880105,0.22900477
PC30,0.0007226697,0.9887332,0.22207008
PC31,0.0006699293,0.9894031,0.20586343
PC32,0.0006198463,0.99002296,0.19047335
PC33,0.00060626876,0.99062926,0.1863011
PC34,0.00054232375,0.9911716,0.16665134
PC35,0.00049896433,0.99167055,0.15332738
PC36,0.0004488484,0.9921194,0.13792719
PC37,0.00042173252,0.9925411,0.12959471
PC38,0.00041766098,0.9929587,0.12834357
PC39,0.00036484745,0.99332356,0.11211444
PC40,0.0003551699,0.99367875,0.109140605
PC41,0.00030804795,0.9939868,0.09466044
PC42,0.00029749668,0.9942843,0.09141813
PC43,0.00028129603,0.99456555,0.08643981
PC44,0.00026740713,0.99483293,0.08217187
PC45,0.00025517592,0.9950881,0.07841333
PC46,0.00023093194,0.995319,0.07096337
PC47,0.00022189268,0.9955409,0.06818568
PC48,0.00020485383,0.9957458,0.06294979
PC49,0.00020221138,0.995948,0.06213779
PC50,0.00018808611,0.9961361,0.05779722
PC51,0.00018562803,0.99632174,0.05704187
PC52,0.00017547626,0.9964972,0.05392232
PC53,0.00017006758,0.99666727,0.05226028
PC54,0.00016005067,0.9968273,0.049182173
PC55,0.00014581089,0.9969731,0.04480641
PC56,0.00014427623,0.9971174,0.044334825
PC57,0.00013866716,0.99725604,0.042611208
PC58,0.00013215104,0.9973882,0.040608857
PC59,0.0001260542,0.99751425,0.038735356
PC60,0.0001201607,0.9976344,0.036924332
PC61,0.00011065701,0.9977451,0.034003932
PC62,0.00010437559,0.99784946,0.032073706
PC63,0.000100851525,0.9979503,0.030990792
PC64,9.467327e-05,0.99804497,0.029092267
PC65,9.1323825e-05,0.9981363,0.028063012
PC66,8.666786e-05,0.99822295,0.026632275
PC67,8.209439e-05,0.998305,0.025226887
PC68,7.824424e-05,0.9983833,0.02404377
PC69,7.623926e-05,0.9984595,0.023427658
PC70,7.2014096e-05,0.9985315,0.022129303
PC71,6.679224e-05,0.99859834,0.020524673
PC72,6.383765e-05,0.9986622,0.019616753
PC73,5.9511094e-05,0.99872166,0.01828724
PC74,5.721807e-05,0.9987789,0.017582612
PC75,5.557652e-05,0.99883443,0.017078178
PC76,5.0737974e-05,0.99888515,0.0155913355
PC77,4.9871345e-05,0.99893504,0.015325028
PC78,4.7627902e-05,0.99898267,0.014635638
PC79,4.572717e-05,0.9990284,0.01405156
PC80,4.4306435e-05,0.9990727,0.0136149805
PC81,4.2618052e-05,0.9991153,0.013096155
PC82,4.1507814e-05,0.9991568,0.012754989
PC83,3.9141472e-05,0.99919593,0.012027833
PC84,3.771133e-05,0.99923366,0.011588362
PC85,3.390534e-05,0.9992676,0.010418815
PC86,3.2575586e-05,0.9993002,0.010010193
PC87,3.1573632e-05,0.9993318,0.009702302
PC88,2.8743128e-05,0.9993605,0.008832512
PC89,2.7781682e-05,0.9993883,0.008537068
PC90,2.6824098e-05,0.9994151,0.008242811
PC91,2.5585732e-05,0.99944067,0.007862272
PC92,2.4171513e-05,0.99946487,0.0074276947
PC93,2.3475244e-05,0.99948835,0.0072137373
PC94,2.2764241e-05,0.9995111,0.0069952523
PC95,2.1378699e-05,0.9995325,0.0065694875
PC96,2.0551926e-05,0.9995531,0.0063154274
PC97,1.9991616e-05,0.99957305,0.0061432486
PC98,1.8554478e-05,0.9995916,0.005701629
PC99,1.8477098e-05,0.99961007,0.0056778505
PC100,1.779291e-05,0.9996279,0.005467606
PC101,1.6486729e-05,0.9996444,0.0050662276
PC102,1.5772282e-05,0.9996602,0.0048466846
PC103,1.5458847e-05,0.99967563,0.0047503687
PC104,1.4876718e-05,0.99969053,0.0045714853
PC105,1.4126806e-05,0.99970466,0.004341044
PC106,1.329866e-05,0.99971795,0.004086562
PC107,1.3059945e-05,0.999731,0.004013207
PC108,1.2678077e-05,0.9997437,0.0038958623
PC109,1.1853501e-05,0.99975556,0.003642477
PC110,1.1086994e-05,0.99976665,0.0034069363
PC111,1.0758829e-05,0.99977744,0.0033060943
PC112,1.0019423e-05,0.99978745,0.0030788812
PC113,9.825829e-06,0.9997973,0.0030193913
PC114,9.58455e-06,0.9998069,0.0029452485
PC115,8.918526e-06,0.9998158,0.002740585
PC116,8.441069e-06,0.9998243,0.0025938668
PC117,8.088628e-06,0.9998324,0.002485565
PC118,7.629871e-06,0.99984,0.0023445927
PC119,7.315931e-06,0.99984735,0.0022481217
PC120,7.184136e-06,0.99985456,0.0022076222
PC121,6.8786553e-06,0.9998614,0.0021137507
PC122,6.622475e-06,0.99986804,0.0020350288
PC123,6.2554486e-06,0.9998743,0.0019222447
PC124,5.5649725e-06,0.99987984,0.0017100674
PC125,5.4814e-06,0.9998853,0.0016843863
PC126,5.3411013e-06,0.9998907,0.0016412737
PC127,5.1961233e-06,0.9998959,0.0015967233
PC128,4.8702796e-06,0.99990076,0.0014965944
PC129,4.7571993e-06,0.9999055,0.0014618458
PC130,4.6743758e-06,0.9999102,0.0014363948
PC131,4.3894183e-06,0.9999146,0.00134883
PC132,4.277353e-06,0.9999189,0.0013143932
PC133,4.103022e-06,0.999923,0.0012608229
PC134,3.7170262e-06,0.9999267,0.0011422096
PC135,3.5233745e-06,0.9999302,0.0010827022
PC136,3.3696588e-06,0.9999336,0.0010354667
PC137,3.2030948e-06,0.9999368,0.000984283
PC138,3.1233124e-06,0.9999399,0.0009597666
PC139,2.9026967e-06,0.99994284,0.0008919733
PC140,2.7603398e-06,0.9999456,0.0008482283
PC141,2.6644254e-06,0.99994826,0.00081875466
PC142,2.4643264e-06,0.9999507,0.00075726595
PC143,2.4273327e-06,0.99995315,0.0007458981
PC144,2.3380333e-06,0.9999555,0.0007184572
PC145,2.2843126e-06,0.99995774,0.0007019493
PC146,2.1987516e-06,0.99995995,0.0006756572
